iter	RMSE
0	0.3920611038
1	0.3893836383
2	0.3867796282
3	0.3842943633
4	0.3815830018
5	0.3791767954
6	0.3763224621
7	0.3737076952
8	0.3709755323
9	0.368323488
10	0.3659760373
11	0.3638020961
12	0.3615358946
13	0.3590308848
14	0.356670493
15	0.3542095052
16	0.3519063422
17	0.3496975796
18	0.3473914865
19	0.3451529239
20	0.3430788079
21	0.3408712703
22	0.3387336395
23	0.3365532727
24	0.3344583058
25	0.3323574631
26	0.3302182452
27	0.3282678239
28	0.3262234784
29	0.3242782929
30	0.3222127443
31	0.32033119
32	0.3183444899
33	0.3162808074
34	0.3144055128
35	0.3124911956
36	0.3105556212
37	0.3085509564
38	0.3066294293
39	0.304821449
40	0.3031173349
41	0.3012875482
42	0.299469018
43	0.2977921362
44	0.2958463757
45	0.2942218532
46	0.2926502486
47	0.2907913456
48	0.2890984021
49	0.2873237792
50	0.2857518319
51	0.2842271421
52	0.2825656726
53	0.281004285
54	0.2795074217
55	0.2779948396
56	0.2764378622
57	0.2749169138
58	0.2733562926
59	0.2718578952
60	0.2703759303
61	0.2690408854
62	0.2675292521
63	0.2660765425
64	0.2647201833
65	0.2632829702
66	0.2619275567
67	0.2606012901
68	0.2591458989
69	0.2577157014
70	0.2563470833
71	0.255101511
72	0.2537216951
73	0.2523371624
74	0.2511184924
75	0.249774339
76	0.2485638468
77	0.2473647656
78	0.2460289465
79	0.2447067448
80	0.2434964118
81	0.2423546797
82	0.2411832559
83	0.2399646146
84	0.2388165767
85	0.2376226802
86	0.2366033234
87	0.235505018
88	0.2343691093
89	0.2331625361
90	0.2319403641
91	0.2308453351
92	0.2298239247
93	0.2287978821
94	0.2278065621
95	0.2267327489
96	0.2256534284
97	0.224541492
98	0.2235574601
99	0.2226812746
100	0.2217572067
101	0.2207433043
102	0.2198173075
103	0.2188832752
104	0.2179643873
105	0.2170960658
106	0.2161087703
107	0.2151838042
108	0.2142524661
109	0.2134019636
110	0.2125628451
111	0.2117068715
112	0.210829032
113	0.2100508786
114	0.2092037913
115	0.208359051
116	0.2074945679
117	0.2066485546
118	0.2058517376
119	0.205034141
120	0.2042747032
121	0.2035509973
122	0.2027216261
123	0.2018556589
124	0.2010647333
125	0.2003165191
126	0.1994687531
127	0.1987585086
128	0.1979960213
129	0.1973317699
130	0.1966143307
131	0.1958632142
132	0.1951631374
133	0.1945336808
134	0.1938179364
135	0.1931285313
136	0.1924704095
137	0.1919088203
138	0.191361063
139	0.1906742704
140	0.1900300008
141	0.1895371194
142	0.1888803794
143	0.1882858242
144	0.1876342841
145	0.187016876
146	0.186354466
147	0.1857777502
148	0.185189617
149	0.1845865165
150	0.1840571728
151	0.1834354688
152	0.1828887838
153	0.1823815533
154	0.1818325003
155	0.1812749173
156	0.180688427
157	0.1801846913
158	0.1796398393
159	0.1790866077
160	0.178533474
161	0.1779587895
162	0.1774548627
163	0.176968731
164	0.176540756
165	0.1759963798
166	0.175444844
167	0.174913651
168	0.1743369914
169	0.1738191208
170	0.1733153208
171	0.1728800136
172	0.1724415571
173	0.1719202598
174	0.1714912392
175	0.1710450854
176	0.1706505181
177	0.1702390802
178	0.1697197647
179	0.1692636101
180	0.1688084039
181	0.1683215997
182	0.1678202062
183	0.1673833053
184	0.1669457735
185	0.1665238681
186	0.1661113782
187	0.1657185026
188	0.1653008556
189	0.1648401016
190	0.164400376
191	0.1639693645
192	0.1635645132
193	0.1632061584
194	0.1627783697
195	0.1623734942
196	0.161947668
197	0.1615745702
198	0.1611428257
199	0.1607579571
200	0.1604199587
201	0.1600396954
202	0.1596801458
203	0.1592886138
204	0.1588875893
205	0.158501199
206	0.1581577482
207	0.1577700591
208	0.1574651355
209	0.1571407815
210	0.1567858839
211	0.1564477709
212	0.1561341672
213	0.1558230997
214	0.1555402354
215	0.1552249397
216	0.1549094603
217	0.1545521155
218	0.1542048527
219	0.1538829926
220	0.1535750913
221	0.1532971654
222	0.1529896264
223	0.1526669132
224	0.1523329265
225	0.1520286752
226	0.1517162715
227	0.1514520167
228	0.1511370024
229	0.1508330042
230	0.1505274493
231	0.1502927115
232	0.1500152291
233	0.1497181704
234	0.149397352
235	0.1490952335
236	0.1487605598
