iter	Passed	Remaining
0	10	51083
1	17	43000
2	25	42264
3	35	44888
4	45	45561
5	55	46066
6	64	46255
7	75	46953
8	85	47346
9	95	47553
10	105	47889
11	115	48059
12	125	48247
13	135	48411
14	145	48482
15	155	48283
16	167	49169
17	177	49184
18	187	49178
19	197	49282
20	207	49213
21	215	48790
22	221	47895
23	229	47631
24	237	47360
25	245	47043
26	254	46900
27	263	46711
28	271	46601
29	282	46733
30	292	46842
31	302	47024
32	313	47154
33	323	47254
34	335	47591
35	345	47691
36	357	48015
37	368	48079
38	378	48143
39	388	48212
40	398	48239
41	408	48259
42	419	48373
43	429	48396
44	439	48405
45	449	48428
46	459	48442
47	469	48476
48	480	48502
49	490	48568
50	502	48748
51	512	48743
52	520	48578
53	528	48435
54	535	48185
55	543	47987
56	552	47901
57	562	47914
58	572	47922
59	582	47955
60	592	47994
61	602	48020
62	613	48049
63	623	48057
64	634	48195
65	645	48239
66	657	48411
67	668	48486
68	681	48736
69	692	48795
70	702	48783
71	713	48812
72	724	48919
73	734	48909
74	744	48920
75	754	48901
76	764	48883
77	774	48858
78	784	48846
79	794	48832
80	803	48779
81	812	48720
82	821	48660
83	832	48717
84	843	48778
85	853	48792
86	863	48782
87	874	48788
88	882	48707
89	896	48909
90	907	48969
91	916	48911
92	925	48846
93	933	48735
94	944	48751
95	955	48790
96	964	48752
97	974	48732
98	982	48644
99	992	48620
100	1000	48517
101	1009	48484
102	1019	48457
103	1028	48425
104	1039	48455
105	1049	48435
106	1058	48391
107	1068	48382
108	1077	48336
109	1085	48253
110	1098	48395
111	1110	48461
112	1121	48486
113	1132	48522
114	1145	48679
115	1159	48802
116	1168	48773
117	1178	48746
118	1191	48875
119	1201	48868
120	1208	48743
121	1215	48612
122	1223	48515
123	1235	48565
124	1246	48631
125	1256	48587
126	1264	48522
127	1276	48570
128	1286	48566
129	1296	48575
130	1306	48556
131	1316	48556
132	1324	48466
133	1332	48384
134	1342	48371
135	1351	48320
136	1361	48315
137	1371	48305
138	1383	48367
139	1395	48448
140	1406	48453
141	1420	48605
142	1440	48922
143	1455	49066
144	1465	49082
145	1477	49112
146	1495	49386
147	1509	49485
148	1522	49579
149	1541	49847
150	1556	49996
151	1570	50085
152	1588	50319
153	1599	50344
154	1608	50283
155	1618	50244
156	1630	50284
157	1643	50355
158	1653	50352
159	1668	50476
160	1686	50681
161	1701	50801
162	1714	50865
163	1724	50863
164	1738	50953
165	1748	50912
166	1756	50839
167	1764	50764
168	1775	50754
169	1786	50762
170	1797	50769
171	1810	50829
172	1819	50773
173	1834	50893
174	1844	50862
175	1852	50778
176	1862	50763
177	1869	50654
178	1881	50672
179	1893	50691
180	1902	50654
181	1912	50616
182	1923	50624
183	1934	50640
184	1946	50660
185	1957	50656
186	1969	50700
187	1982	50735
188	1993	50750
189	2004	50734
190	2016	50764
191	2034	50957
192	2047	51000
193	2056	50954
194	2071	51034
195	2082	51044
196	2095	51081
197	2106	51082
198	2118	51113
199	2133	51199
200	2145	51219
201	2155	51203
202	2167	51225
203	2176	51166
204	2187	51162
205	2197	51141
206	2208	51128
207	2221	51172
208	2234	51227
