iter	RMSE
0	0.3929736628
1	0.3906274472
2	0.3881332524
3	0.385931924
4	0.3836409226
5	0.3812897085
6	0.3790352424
7	0.3768415428
8	0.3746427042
9	0.3724581096
10	0.3701048002
11	0.3680945742
12	0.3660840152
13	0.3638473759
14	0.3616383359
15	0.3595560524
16	0.3573785135
17	0.3554395231
18	0.3533834735
19	0.3514270018
20	0.3494731407
21	0.3474103469
22	0.3453518042
23	0.3435763974
24	0.3414657511
25	0.3396508995
26	0.3378461348
27	0.3360864887
28	0.3341766317
29	0.3323045447
30	0.330410569
31	0.3286609274
32	0.3269647461
33	0.3251982017
34	0.3236204013
35	0.3219340416
36	0.3202029639
37	0.3185780152
38	0.3168765943
39	0.3150724578
40	0.3134512939
41	0.3116480999
42	0.3099730875
43	0.3082384859
44	0.3065902277
45	0.3050717669
46	0.3034132055
47	0.3018774052
48	0.3004508871
49	0.298896521
50	0.2975381231
51	0.2960269463
52	0.2945430159
53	0.2930261038
54	0.2914766135
55	0.2899984298
56	0.2887687127
57	0.2873238398
58	0.2860015968
59	0.2847381302
60	0.2835115391
61	0.2820999641
62	0.2806591242
63	0.2792971999
64	0.2779219139
65	0.2766016209
66	0.2753436389
67	0.2740750646
68	0.2727908751
69	0.2714609735
70	0.2702375597
71	0.2690540988
72	0.2679244585
73	0.2666893918
74	0.2654247223
75	0.2642918664
76	0.2631360932
77	0.2618633517
78	0.2607354162
79	0.2595916255
80	0.2585160055
81	0.2572633849
82	0.2560999225
83	0.2549881076
84	0.2539150034
85	0.2527596043
86	0.2518223489
87	0.2507078902
88	0.2496668806
89	0.2488680611
90	0.2478471144
91	0.246808582
92	0.2456510689
93	0.2447139452
94	0.2437115798
95	0.2427423961
96	0.2417086744
97	0.2407144032
98	0.2397761453
99	0.2388602596
100	0.2379388293
101	0.2370089808
102	0.2360369773
103	0.2350569291
104	0.2342492768
105	0.2332920232
106	0.2324279365
107	0.2315704775
108	0.2306966663
109	0.2297834046
110	0.2289318002
111	0.2280767231
112	0.2272765845
113	0.226361199
114	0.2255335873
115	0.2246338128
116	0.2238414201
117	0.2230092328
118	0.2221572509
119	0.2213857423
120	0.2206239953
121	0.2198984312
122	0.2190858915
123	0.2183308311
124	0.2174693895
125	0.21668092
126	0.2159054314
127	0.2151208068
128	0.2143452881
129	0.213597244
130	0.2129750805
131	0.2122527915
132	0.2115777606
133	0.2108906649
134	0.2102720364
135	0.2096489325
136	0.2089320729
137	0.208218685
138	0.2075215121
139	0.2068898375
140	0.206188267
141	0.2055116756
142	0.2048863547
143	0.2041506656
144	0.2035369141
145	0.2028954238
146	0.2022763993
147	0.2016717825
148	0.2010881279
149	0.2004970832
150	0.1998533281
151	0.1992366331
152	0.1986270555
153	0.198041739
154	0.197467911
155	0.1968560147
156	0.1962348916
157	0.1956161597
158	0.1950428064
159	0.1944875909
160	0.1939339921
161	0.1933395227
162	0.1928121966
163	0.1922164521
164	0.1917000348
165	0.1911455875
166	0.1906180298
167	0.1900677517
168	0.1895895624
169	0.1890878669
170	0.188557299
171	0.1880700334
172	0.1876060367
173	0.1871342624
174	0.1866200072
175	0.1860914062
176	0.1856507175
177	0.1852223561
178	0.1847369505
179	0.1842592955
180	0.1837666945
181	0.1833869767
182	0.1829583813
183	0.1825482689
184	0.1820447741
185	0.1815671372
186	0.181113307
187	0.1807186518
188	0.1802542161
189	0.1798355142
190	0.1794253686
191	0.1789711439
192	0.1785105519
193	0.1780628915
194	0.1775760495
195	0.1771131446
196	0.176712246
197	0.1763119394
198	0.1759169106
199	0.1755351259
200	0.1750858469
201	0.1746755009
202	0.1742707426
203	0.1739134732
204	0.173498671
205	0.1731184517
206	0.1727084099
207	0.1723270419
208	0.1719282679
209	0.1716350799
210	0.1713711881
211	0.1710538315
212	0.1706171148
213	0.1702632664
214	0.1699347631
215	0.1695768434
216	0.1692053972
217	0.1688783435
218	0.168547434
219	0.1682052243
220	0.1678868994
221	0.1675392353
222	0.1672051841
223	0.1668395423
224	0.1665583512
225	0.166220761
226	0.1658929502
227	0.1655435275
228	0.1652025287
229	0.1648866131
230	0.1646340682
231	0.1643605132
232	0.1640627999
233	0.1637411569
234	0.1634420145
235	0.1631781098
236	0.1628440502
237	0.1625523311
238	0.1622539188
239	0.1620117658
240	0.1617094614
241	0.1614321118
242	0.1611164781
243	0.1607966394
244	0.1604878521
245	0.1601914254
246	0.1598934114
247	0.1596373815
248	0.1593775065
249	0.1591538225
250	0.158907797
251	0.1586570383
252	0.1583616366
253	0.1581113085
254	0.1578936922
255	0.1576221612
256	0.1573280562
257	0.1570397334
258	0.1567987549
259	0.1565264757
260	0.15627416
261	0.1560391387
262	0.1558035124
263	0.1555340083
264	0.1552474346
265	0.1549925671
266	0.1546961167
267	0.1544744441
268	0.1542307411
269	0.1539780348
270	0.1537290085
271	0.1535634029
272	0.1532995929
273	0.1530676134
274	0.1528115059
275	0.1525952541
276	0.1523770261
277	0.1521301422
278	0.1518935208
279	0.1516808595
280	0.1514019198
281	0.1511749982
282	0.1509862745
283	0.15073641
284	0.1505343099
285	0.1503326988
286	0.1501045728
287	0.1498776468
288	0.149665303
289	0.1494685154
290	0.1492405266
291	0.1490354229
292	0.1488419867
293	0.1485990098
294	0.1484063062
295	0.1482374407
296	0.1480123224
297	0.1478049777
298	0.14765244
299	0.1474440921
300	0.1472581869
301	0.1470844059
302	0.1468845704
303	0.1466922353
304	0.1464908781
305	0.1462902151
306	0.1460953854
307	0.1459058235
308	0.1457258857
309	0.1455209712
310	0.1453629946
311	0.1451770855
312	0.1450280217
313	0.1448576434
314	0.1447032224
315	0.1445086522
316	0.1443011831
317	0.1440952244
318	0.1439274701
319	0.1437433963
320	0.1435834088
321	0.1434293356
322	0.1432880868
323	0.1431098385
324	0.1429584153
325	0.1427862784
326	0.1426454372
327	0.1424728743
328	0.1423228688
329	0.142150569
330	0.1419857562
331	0.1418891779
332	0.1417181006
333	0.1415696687
334	0.1414492415
335	0.1412735607
336	0.1411381276
337	0.1410316074
338	0.140863432
339	0.1407213251
340	0.1405740849
341	0.1404125554
342	0.1402717315
343	0.1401269704
344	0.1399829936
345	0.1398257389
346	0.1396486093
347	0.1395375406
348	0.1393793538
349	0.1392408987
350	0.1391275941
351	0.1389808269
352	0.1388198925
353	0.1386738235
354	0.1385188889
355	0.1383638978
356	0.1382368694
357	0.1381226564
358	0.1379838026
359	0.1378147481
360	0.137700086
361	0.1375531797
362	0.1374052537
363	0.1372788802
364	0.1371192753
365	0.1369688975
366	0.1368569643
367	0.1367271331
368	0.1365616696
369	0.1364111433
370	0.1363025436
371	0.1361651761
372	0.1360090521
373	0.1358829073
374	0.1357519745
375	0.135619298
376	0.135492465
377	0.1353381032
378	0.135191839
379	0.1350512803
380	0.1349040237
381	0.1347490822
382	0.1346215618
383	0.1344910075
384	0.1343469779
385	0.1342267119
386	0.1341202156
387	0.1340069978
388	0.1339149116
389	0.133760678
390	0.1336342588
391	0.1335152926
392	0.1333904707
393	0.1332717998
394	0.1331275983
395	0.1330003111
396	0.1328988008
397	0.1327867621
398	0.1326761861
399	0.1325488082
400	0.1324107968
401	0.1323172859
402	0.1322169778
403	0.1321310851
404	0.1319980045
405	0.1319055894
406	0.131786498
407	0.1316998447
408	0.1315811102
409	0.1314613663
410	0.1313345358
411	0.1312394733
412	0.1311275405
413	0.131032434
414	0.1309313559
415	0.1308448125
416	0.1307388147
417	0.130632659
418	0.1305351896
419	0.1304136711
420	0.130281538
421	0.1301828914
422	0.1300660748
423	0.1299620065
424	0.1298523148
425	0.12975824
