iter	Passed	Remaining
0	15	15411
1	22	11324
2	31	10537
3	38	9638
4	47	9469
5	55	9162
6	64	9160
7	71	8866
8	80	8841
9	86	8587
10	97	8739
11	103	8528
12	112	8558
13	120	8453
14	130	8549
15	136	8397
16	148	8564
17	155	8460
18	166	8596
19	173	8484
20	181	8480
21	189	8407
22	198	8424
23	205	8350
24	218	8516
25	230	8633
26	236	8522
27	245	8507
28	252	8455
29	263	8521
30	270	8447
31	279	8452
32	284	8351
33	292	8305
34	298	8237
35	311	8330
36	319	8315
37	327	8281
38	333	8227
39	345	8286
40	351	8225
41	362	8263
42	367	8186
43	375	8160
44	382	8107
45	390	8102
46	398	8088
47	408	8095
48	423	8217
49	429	8151
50	438	8155
51	443	8092
52	450	8053
53	462	8102
54	468	8049
55	476	8033
56	484	8019
57	491	7975
58	497	7929
59	507	7946
60	516	7947
61	522	7907
62	528	7854
63	535	7831
64	540	7778
65	546	7739
66	558	7776
67	569	7805
68	578	7799
69	591	7860
70	607	7952
71	620	7996
72	629	7993
73	641	8022
74	658	8123
75	672	8174
76	685	8214
77	693	8198
78	711	8291
79	727	8366
80	739	8392
81	757	8481
82	768	8488
83	780	8515
84	789	8493
85	802	8532
86	813	8537
87	821	8510
88	831	8511
89	837	8472
90	849	8480
91	863	8522
92	869	8478
93	874	8431
94	882	8408
95	888	8364
96	900	8384
97	906	8344
98	915	8333
99	922	8304
100	930	8284
101	936	8242
102	944	8226
103	952	8203
104	960	8184
105	965	8147
106	971	8107
107	979	8088
108	984	8049
109	992	8031
110	998	7998
111	1006	7976
112	1013	7957
113	1019	7920
114	1026	7902
115	1034	7881
116	1046	7899
117	1055	7890
118	1066	7891
119	1076	7896
120	1084	7880
121	1096	7892
122	1107	7893
123	1114	7875
124	1120	7843
125	1128	7826
126	1133	7793
127	1141	7776
128	1148	7751
129	1156	7738
130	1163	7720
131	1169	7690
132	1179	7687
133	1185	7658
134	1194	7654
135	1200	7624
136	1212	7635
137	1224	7649
138	1233	7638
139	1241	7625
140	1250	7618
141	1262	7627
142	1267	7597
143	1276	7585
144	1282	7560
145	1291	7554
146	1300	7544
147	1311	7552
148	1319	7537
149	1326	7516
150	1331	7489
151	1341	7482
152	1346	7456
153	1354	7441
154	1364	7439
155	1373	7429
156	1379	7407
157	1388	7400
158	1394	7376
159	1402	7363
160	1408	7339
161	1414	7315
162	1425	7317
163	1436	7323
164	1447	7325
165	1462	7348
166	1474	7352
167	1484	7352
168	1492	7341
169	1509	7371
170	1520	7373
171	1528	7357
172	1540	7366
173	1551	7363
174	1557	7342
175	1563	7319
176	1571	7304
177	1576	7281
178	1584	7269
179	1590	7245
180	1602	7249
181	1608	7229
182	1616	7215
183	1621	7191
184	1627	7169
185	1637	7168
186	1652	7182
187	1661	7178
188	1676	7195
189	1686	7188
190	1691	7165
191	1701	7160
192	1707	7138
193	1718	7138
194	1734	7160
195	1751	7184
196	1764	7192
197	1772	7181
198	1784	7181
199	1793	7172
200	1800	7159
201	1806	7136
202	1813	7121
203	1819	7099
204	1824	7076
205	1832	7063
206	1837	7041
207	1845	7026
208	1853	7014
209	1862	7008
210	1869	6991
211	1875	6970
212	1881	6952
213	1896	6965
214	1914	6989
215	1950	7080
216	1965	7092
217	1976	7089
218	1984	7076
219	1996	7077
220	2007	7076
221	2016	7068
222	2027	7064
223	2036	7055
224	2048	7055
225	2059	7054
226	2066	7035
227	2078	7039
228	2090	7039
229	2099	7028
230	2108	7020
231	2115	7002
232	2124	6995
233	2147	7030
234	2159	7029
235	2166	7012
236	2175	7004
237	2181	6984
238	2191	6978
239	2203	6978
240	2210	6962
241	2221	6958
242	2227	6938
243	2235	6926
244	2403	7406
245	2659	8152
246	2673	8149
247	2753	8348
248	2760	8327
249	2773	8319
250	2779	8294
251	2789	8280
252	2796	8257
253	2807	8245
254	2817	8231
255	2825	8210
256	2835	8197
257	2841	8171
258	2848	8149
259	2856	8129
260	2862	8103
261	2872	8090
262	2882	8078
263	2888	8051
264	2894	8027
265	2901	8007
266	2907	7980
267	2915	7962
268	2920	7937
269	2926	7912
270	2934	7892
271	2939	7867
272	2947	7848
273	2952	7823
274	2958	7798
275	2966	7782
276	2973	7760
277	2981	7742
278	2987	7719
279	2992	7695
280	3001	7681
281	3007	7657
282	3014	7638
283	3032	7645
284	3038	7621
285	3043	7598
286	3050	7578
287	3055	7554
288	3064	7539
289	3074	7528
290	3083	7512
291	3091	7495
292	3104	7491
293	3114	7479
294	3127	7474
295	3134	7455
296	3142	7439
297	3151	7424
298	3158	7404
299	3166	7389
300	3172	7367
301	3182	7354
302	3187	7332
303	3195	7315
304	3200	7293
305	3206	7272
306	3213	7254
307	3219	7233
308	3226	7215
309	3232	7194
310	3237	7173
311	3244	7154
312	3249	7132
313	3255	7112
314	3267	7106
315	3278	7097
316	3284	7076
317	3291	7059
318	3297	7038
319	3302	7017
320	3312	7006
321	3322	6996
322	3328	6975
323	3334	6956
324	3340	6937
325	3346	6918
326	3352	6899
327	3363	6890
328	3374	6882
329	3382	6866
330	3390	6852
331	3396	6833
332	3401	6813
333	3408	6796
334	3414	6777
335	3421	6761
336	3427	6743
337	3432	6723
338	3439	6707
339	3445	6688
340	3450	6668
341	3460	6657
342	3466	6639
343	3473	6624
344	3478	6604
345	3486	6590
346	3492	6571
347	3499	6556
348	3506	6541
349	3512	6522
350	3518	6505
351	3523	6486
352	3528	6466
353	3532	6447
354	3537	6427
355	3542	6408
356	3547	6389
357	3555	6375
358	3560	6357
359	3565	6337
360	3571	6322
361	3576	6303
362	3583	6288
363	3588	6270
364	3594	6252
365	3602	6240
366	3608	6223
367	3616	6210
